# state	expected_P_or_N	fixture_id	provenance_jsonl_line
0000000000000000000000000000000033	P	oracle_00001	1
0000000000000000000000000000000222	P	oracle_00002	2
0000000000000000000000100200000022	N	oracle_00003	3
0000000000000000000000200100000022	N	oracle_00004	4
0000000000000000000000200200000012	N	oracle_00005	5
0000000000000000000001000200000022	N	oracle_00006	6
0000000000000000000001020000000022	N	oracle_00007	7
0000000000000000000002000100000022	N	oracle_00008	8
0000000000000000000002000200000012	N	oracle_00009	9
0000000000000000000002020000000012	N	oracle_00010	10
0000000000000000000010002000000022	N	oracle_00011	11
0000000000000000000020002000000012	N	oracle_00012	12
0000000000000000000100000200000022	N	oracle_00013	13
0000000000000000000200000200000012	N	oracle_00014	14
0000000000000000001000000020000022	N	oracle_00015	15
0000000000000000002000000020000012	N	oracle_00016	16
0000000000000000010000000020000022	N	oracle_00017	17
0000000000000000010000000200000022	N	oracle_00018	18
0000000000000000010000002000000022	N	oracle_00019	19
0000000000000000010000020000000022	N	oracle_00020	20
0000000000000000010000200000000022	N	oracle_00021	21
0000000000000000020000000020000012	N	oracle_00022	22
0000000000000000020000000100000022	N	oracle_00023	23
0000000000000000020000000200000012	N	oracle_00024	24
0000000000000000020000001000000022	N	oracle_00025	25
0000000000000000020000002000000012	N	oracle_00026	26
0000000000000000020000010000000022	N	oracle_00027	27
0000000000000000020000020000000012	N	oracle_00028	28
0000000000000000020000100000000022	N	oracle_00029	29
0000000000000000020000200000000012	N	oracle_00030	30
0000000000000000100000000200000022	N	oracle_00031	31
0000000000000000100000002000000022	N	oracle_00032	32
0000000000000000200000000200000012	N	oracle_00033	33
0000000000000000200000001000000022	N	oracle_00034	34
0000000000000000200000002000000012	N	oracle_00035	35
0000000000000001000000002000000022	N	oracle_00036	36
0000000000000002000000002000000012	N	oracle_00037	37
0000000000000010000000020000000022	N	oracle_00038	38
0000000000000010000000200000000022	N	oracle_00039	39
0000000000000020000000020000000012	N	oracle_00040	40
0000000000000020000000100000000022	N	oracle_00041	41
0000000000000020000000200000000012	N	oracle_00042	42
0000000000000100000000200000000022	N	oracle_00043	43
0000000000000200000000200000000012	N	oracle_00044	44
0000000000000000000000000000000224	P	oracle_00045	45
0000000000000000000000200200000022	P	oracle_00046	46
0000000000000000000002000200000022	P	oracle_00047	47
0000000000000000000002020000000022	P	oracle_00048	48
